name,part,fmax,lut,registers,bram,dsp,luts_available,utilisation
add8,NG-MEDIUM,590.6670,0,24,0,0,34272,0.0000
add8,xc7k410tfbg900-1,737.4631,8,24,0,0,254200,0.0031
add16,NG-MEDIUM,585.4800,0,48,0,0,34272,0.0000
add16,xc7k410tfbg900-1,738.0074,16,48,0,0,254200,0.0063
add32,NG-MEDIUM,554.6310,0,96,0,0,34272,0.0000
add32,xc7k410tfbg900-1,626.9592,32,96,0,0,254200,0.0126
add64,NG-MEDIUM,542.8880,0,192,0,0,34272,0.0000
add64,xc7k410tfbg900-1,480.7692,64,192,0,0,254200,0.0252
add128,NG-MEDIUM,304.7850,0,384,0,0,34272,0.0000
add128,xc7k410tfbg900-1,326.0515,128,384,0,0,254200,0.0504
add256,NG-MEDIUM,313.2830,0,768,0,0,34272,0.0000
add256,xc7k410tfbg900-1,194.9318,256,768,0,0,254200,0.1007
