name,part,fmax,lut,registers,bram,dsp,luts_available,utilisation
s27,NG-MEDIUM,362.8450,5,3,0,0,34272,0.0146
s27,xc7k410tfbg900-1,564.6527,9,3,0,0,254200,0.0035
s27a,NG-MEDIUM,362.8450,5,3,0,0,34272,0.0146
s27a,xc7k410tfbg900-1,564.6527,9,3,0,0,254200,0.0035
s208,NG-MEDIUM,255.4280,23,8,0,0,34272,0.0671
s208,xc7k410tfbg900-1,320.5128,81,8,0,0,254200,0.0319
s298,NG-MEDIUM,254.7120,28,14,0,0,34272,0.0817
s298,xc7k410tfbg900-1,325.6268,109,14,0,0,254200,0.0429
s344,NG-MEDIUM,197.5110,43,15,0,0,34272,0.1255
s344,xc7k410tfbg900-1,193.3488,146,15,0,0,254200,0.0574
s349,NG-MEDIUM,197.5110,43,15,0,0,34272,0.1255
s349,xc7k410tfbg900-1,196.7342,144,15,0,0,254200,0.0566
s382,NG-MEDIUM,194.8180,45,21,0,0,34272,0.1313
s382,xc7k410tfbg900-1,314.6633,146,21,0,0,254200,0.0574
s386,NG-MEDIUM,254.1940,39,6,0,0,34272,0.1138
s386,xc7k410tfbg900-1,281.9284,152,6,0,0,254200,0.0598
s386a,NG-MEDIUM,254.1940,39,6,0,0,34272,0.1138
s386a,xc7k410tfbg900-1,281.9284,152,6,0,0,254200,0.0598
s400,NG-MEDIUM,204.4990,45,21,0,0,34272,0.1313
s400,xc7k410tfbg900-1,342.1143,154,21,0,0,254200,0.0606
s420,NG-MEDIUM,248.8800,44,16,0,0,34272,0.1284
s420,xc7k410tfbg900-1,289.1845,180,16,0,0,254200,0.0708
s444,NG-MEDIUM,201.8980,46,21,0,0,34272,0.1342
s444,xc7k410tfbg900-1,289.6032,169,21,0,0,254200,0.0665
s510,NG-MEDIUM,195.1600,81,6,0,0,34272,0.2363
s510,xc7k410tfbg900-1,279.4077,187,6,0,0,254200,0.0736
s526,NG-MEDIUM,201.1670,40,21,0,0,34272,0.1167
s526,xc7k410tfbg900-1,329.3808,178,21,0,0,254200,0.0700
s526a,NG-MEDIUM,201.1670,40,21,0,0,34272,0.1167
s526a,xc7k410tfbg900-1,345.5425,178,21,0,0,254200,0.0700
s641,NG-MEDIUM,111.0250,67,19,0,0,34272,0.1955
s641,xc7k410tfbg900-1,52.9577,334,19,0,0,254200,0.1314
s713,NG-MEDIUM,111.7190,67,19,0,0,34272,0.1955
s713,xc7k410tfbg900-1,54.1126,355,19,0,0,254200,0.1397
s820,NG-MEDIUM,165.6730,87,5,0,0,34272,0.2539
s820,xc7k410tfbg900-1,300.0300,272,5,0,0,254200,0.1070
s832,NG-MEDIUM,163.6930,87,5,0,0,34272,0.2539
s832,xc7k410tfbg900-1,287.5216,269,5,0,0,254200,0.1058
s838,NG-MEDIUM,253.7430,86,32,0,0,34272,0.2509
s838,xc7k410tfbg900-1,282.7255,322,32,0,0,254200,0.1267
s953,NG-MEDIUM,166.6110,134,29,0,0,34272,0.3910
s953,xc7k410tfbg900-1,178.4758,298,29,0,0,254200,0.1172
s1196,NG-MEDIUM,126.3260,149,18,0,0,34272,0.4348
s1196,xc7k410tfbg900-1,236.6864,440,18,0,0,254200,0.1731
s1196a,NG-MEDIUM,126.3260,149,18,0,0,34272,0.4348
s1196a,xc7k410tfbg900-1,236.6864,440,18,0,0,254200,0.1731
s1196b,NG-MEDIUM,126.3260,149,18,0,0,34272,0.4348
s1196b,xc7k410tfbg900-1,236.6864,440,18,0,0,254200,0.1731
s1238,NG-MEDIUM,141.4030,157,18,0,0,34272,0.4581
s1238,xc7k410tfbg900-1,237.3042,379,18,0,0,254200,0.1491
s1238a,NG-MEDIUM,141.4030,157,18,0,0,34272,0.4581
s1238a,xc7k410tfbg900-1,237.3042,379,18,0,0,254200,0.1491
s1423,NG-MEDIUM,54.0570,169,74,0,0,34272,0.4931
s1423,xc7k410tfbg900-1,59.5203,538,74,0,0,254200,0.2116
s1488,NG-MEDIUM,162.8660,191,6,0,0,34272,0.5573
s1488,xc7k410tfbg900-1,178.6033,543,6,0,0,254200,0.2136
s1494,NG-MEDIUM,158.7050,194,6,0,0,34272,0.5661
s1494,xc7k410tfbg900-1,184.3998,526,6,0,0,254200,0.2069
s5378,NG-MEDIUM,101.0100,405,161,0,0,34272,1.1817
s5378,xc7k410tfbg900-1,126.1511,2199,179,0,0,254200,0.8651
s9234,NG-MEDIUM,78.4810,276,133,0,0,34272,0.8053
s9234,xc7k410tfbg900-1,50.1655,4256,211,0,0,254200,1.6743
s13207,NG-MEDIUM,67.0380,586,475,0,0,34272,1.7099
s13207,xc7k410tfbg900-1,50.4414,5807,638,0,0,254200,2.2844
s15850,NG-MEDIUM,47.5870,866,457,0,0,34272,2.5268
s15850,xc7k410tfbg900-1,46.8121,6915,534,0,0,254200,2.7203
s35932,NG-MEDIUM,141.2430,2626,1728,0,0,34272,7.6622
s35932,xc7k410tfbg900-1,70.1066,12265,1728,0,0,254200,4.8249
s38417,NG-MEDIUM,54.5200,2726,1538,0,0,34272,7.9540
s38417,xc7k410tfbg900-1,65.6642,14698,1636,0,0,254200,5.7821
s38584,NG-MEDIUM,68.5260,3362,1384,0,0,34272,9.8098
s38584,xc7k410tfbg900-1,55.8534,13086,1426,0,0,254200,5.1479
