name,part,fmax,lut,registers,bram,dsp,luts_available,utilisation
s27,NG-MEDIUM,362.8450,5,3,0,0,34272,0.0146
s27a,NG-MEDIUM,362.8450,5,3,0,0,34272,0.0146
s208,NG-MEDIUM,255.4280,23,8,0,0,34272,0.0671
s298,NG-MEDIUM,254.7120,28,14,0,0,34272,0.0817
s344,NG-MEDIUM,197.5110,43,15,0,0,34272,0.1255
s349,NG-MEDIUM,197.5110,43,15,0,0,34272,0.1255
s382,NG-MEDIUM,194.8180,45,21,0,0,34272,0.1313
s386,NG-MEDIUM,254.1940,39,6,0,0,34272,0.1138
s386a,NG-MEDIUM,254.1940,39,6,0,0,34272,0.1138
s400,NG-MEDIUM,204.4990,45,21,0,0,34272,0.1313
s420,NG-MEDIUM,248.8800,44,16,0,0,34272,0.1284
s444,NG-MEDIUM,201.8980,46,21,0,0,34272,0.1342
s510,NG-MEDIUM,195.1600,81,6,0,0,34272,0.2363
s526,NG-MEDIUM,201.1670,40,21,0,0,34272,0.1167
s526a,NG-MEDIUM,201.1670,40,21,0,0,34272,0.1167
s641,NG-MEDIUM,111.0250,67,19,0,0,34272,0.1955
s713,NG-MEDIUM,111.7190,67,19,0,0,34272,0.1955
s820,NG-MEDIUM,165.6730,87,5,0,0,34272,0.2539
s832,NG-MEDIUM,163.6930,87,5,0,0,34272,0.2539
s838,NG-MEDIUM,253.7430,86,32,0,0,34272,0.2509
s953,NG-MEDIUM,166.6110,134,29,0,0,34272,0.3910
s1196,NG-MEDIUM,126.3260,149,18,0,0,34272,0.4348
s1196a,NG-MEDIUM,126.3260,149,18,0,0,34272,0.4348
s1196b,NG-MEDIUM,126.3260,149,18,0,0,34272,0.4348
s1238,NG-MEDIUM,141.4030,157,18,0,0,34272,0.4581
s1238a,NG-MEDIUM,141.4030,157,18,0,0,34272,0.4581
s1423,NG-MEDIUM,54.0570,169,74,0,0,34272,0.4931
s1488,NG-MEDIUM,162.8660,191,6,0,0,34272,0.5573
s1494,NG-MEDIUM,158.7050,194,6,0,0,34272,0.5661
s5378,NG-MEDIUM,101.0100,405,161,0,0,34272,1.1817
s9234,NG-MEDIUM,78.4810,276,133,0,0,34272,0.8053
s13207,NG-MEDIUM,67.0380,586,475,0,0,34272,1.7099
s15850,NG-MEDIUM,47.5870,866,457,0,0,34272,2.5268
s35932,NG-MEDIUM,141.2430,2626,1728,0,0,34272,7.6622
s38417,NG-MEDIUM,54.5200,2726,1538,0,0,34272,7.9540
s38584,NG-MEDIUM,68.5260,3362,1384,0,0,34272,9.8098
