name,part,fmax,lut,registers,bram,dsp,luts_available,utilisation
s27,xc7k410tfbg900-1,564.6527,9,3,0,0,254200,0.0035
s27a,xc7k410tfbg900-1,564.6527,9,3,0,0,254200,0.0035
s208,xc7k410tfbg900-1,320.5128,81,8,0,0,254200,0.0319
s298,xc7k410tfbg900-1,325.6268,109,14,0,0,254200,0.0429
s344,xc7k410tfbg900-1,193.3488,146,15,0,0,254200,0.0574
s349,xc7k410tfbg900-1,196.7342,144,15,0,0,254200,0.0566
s382,xc7k410tfbg900-1,314.6633,146,21,0,0,254200,0.0574
s386,xc7k410tfbg900-1,281.9284,152,6,0,0,254200,0.0598
s386a,xc7k410tfbg900-1,281.9284,152,6,0,0,254200,0.0598
s400,xc7k410tfbg900-1,342.1143,154,21,0,0,254200,0.0606
s420,xc7k410tfbg900-1,289.1845,180,16,0,0,254200,0.0708
s444,xc7k410tfbg900-1,289.6032,169,21,0,0,254200,0.0665
s510,xc7k410tfbg900-1,279.4077,187,6,0,0,254200,0.0736
s526,xc7k410tfbg900-1,329.3808,178,21,0,0,254200,0.0700
s526a,xc7k410tfbg900-1,345.5425,178,21,0,0,254200,0.0700
s641,xc7k410tfbg900-1,52.9577,334,19,0,0,254200,0.1314
s713,xc7k410tfbg900-1,54.1126,355,19,0,0,254200,0.1397
s820,xc7k410tfbg900-1,300.0300,272,5,0,0,254200,0.1070
s832,xc7k410tfbg900-1,287.5216,269,5,0,0,254200,0.1058
s838,xc7k410tfbg900-1,282.7255,322,32,0,0,254200,0.1267
s953,xc7k410tfbg900-1,178.4758,298,29,0,0,254200,0.1172
s1196,xc7k410tfbg900-1,236.6864,440,18,0,0,254200,0.1731
s1196a,xc7k410tfbg900-1,236.6864,440,18,0,0,254200,0.1731
s1196b,xc7k410tfbg900-1,236.6864,440,18,0,0,254200,0.1731
s1238,xc7k410tfbg900-1,237.3042,379,18,0,0,254200,0.1491
s1238a,xc7k410tfbg900-1,237.3042,379,18,0,0,254200,0.1491
s1423,xc7k410tfbg900-1,59.5203,538,74,0,0,254200,0.2116
s1488,xc7k410tfbg900-1,178.6033,543,6,0,0,254200,0.2136
s1494,xc7k410tfbg900-1,184.3998,526,6,0,0,254200,0.2069
s5378,xc7k410tfbg900-1,126.1511,2199,179,0,0,254200,0.8651
s9234,xc7k410tfbg900-1,50.1655,4256,211,0,0,254200,1.6743
s13207,xc7k410tfbg900-1,50.4414,5807,638,0,0,254200,2.2844
s15850,xc7k410tfbg900-1,46.8121,6915,534,0,0,254200,2.7203
s35932,xc7k410tfbg900-1,70.1066,12265,1728,0,0,254200,4.8249
s38417,xc7k410tfbg900-1,65.6642,14698,1636,0,0,254200,5.7821
s38584,xc7k410tfbg900-1,55.8534,13086,1426,0,0,254200,5.1479
