name,part,fmax,lut,registers,bram,dsp,luts_available,utilisation
1xFIR_10xS832,xc7k410tfbg900-1,231.1070,8418,11043,0,65,254200,3.3116
1xFIR_60xS832,xc7k410tfbg900-1,221.0922,21032,11703,0,65,254200,8.2738
1xFIR_110xS832,xc7k410tfbg900-1,207.9867,33177,12903,0,65,254200,13.0515
1xFIR_160xS832,xc7k410tfbg900-1,205.2967,45029,14103,0,65,254200,17.7140
1xFIR_210xS832,xc7k410tfbg900-1,203.7905,57143,15303,0,65,254200,22.4795
1xFIR_260xS832,xc7k410tfbg900-1,200.9243,67149,16503,0,65,254200,26.4158
1xFIR_310xS832,xc7k410tfbg900-1,198.8467,79091,17764,0,65,254200,31.1137
1xFIR_360xS832,xc7k410tfbg900-1,190.2950,90705,18964,0,65,254200,35.6825
1xFIR_410xS832,xc7k410tfbg900-1,196.9279,101579,20164,0,65,254200,39.9603
1xFIR_460xS832,xc7k410tfbg900-1,175.7469,111570,21364,0,65,254200,43.8906
1xFIR_510xS832,xc7k410tfbg900-1,178.2849,123123,22564,0,65,254200,48.4355
1xFIR_560xS832,xc7k410tfbg900-1,199.0446,136817,23764,0,65,254200,53.8226
1xFIR_610xS832,xc7k410tfbg900-1,168.0108,144886,24964,0,65,254200,56.9969
1xFIR_660xS832,xc7k410tfbg900-1,170.8526,156034,26164,0,65,254200,61.3824
1xFIR_710xS832,xc7k410tfbg900-1,189.7893,170569,27364,0,65,254200,67.1003
1xFIR_760xS832,xc7k410tfbg900-1,191.2777,182895,28564,0,65,254200,71.9493
2xFIR_10xS832,xc7k410tfbg900-1,234.3567,14254,20750,0,130,254200,5.6074
2xFIR_60xS832,xc7k410tfbg900-1,219.1060,26672,21950,0,130,254200,10.4925
2xFIR_110xS832,xc7k410tfbg900-1,213.5383,38533,23150,0,130,254200,15.1585
2xFIR_160xS832,xc7k410tfbg900-1,196.9279,50170,24350,0,130,254200,19.7364
2xFIR_210xS832,xc7k410tfbg900-1,196.2709,61935,25550,0,130,254200,24.3647
2xFIR_260xS832,xc7k410tfbg900-1,204.5827,73271,26750,0,130,254200,28.8242
2xFIR_310xS832,xc7k410tfbg900-1,190.1502,85385,28088,0,130,254200,33.5897
2xFIR_360xS832,xc7k410tfbg900-1,189.3222,96044,29288,0,130,254200,37.7828
2xFIR_410xS832,xc7k410tfbg900-1,195.5799,107646,30488,0,130,254200,42.3470
2xFIR_460xS832,xc7k410tfbg900-1,196.8504,118313,31688,0,130,254200,46.5433
2xFIR_510xS832,xc7k410tfbg900-1,183.7560,128324,32888,0,130,254200,50.4815
2xFIR_560xS832,xc7k410tfbg900-1,177.1479,142102,34088,0,130,254200,55.9017
2xFIR_610xS832,xc7k410tfbg900-1,175.5310,151390,35288,0,130,254200,59.5555
2xFIR_660xS832,xc7k410tfbg900-1,176.0563,162178,36488,0,130,254200,63.7994
2xFIR_710xS832,xc7k410tfbg900-1,189.8975,175229,37688,0,130,254200,68.9335
2xFIR_760xS832,xc7k410tfbg900-1,191.8281,188252,38888,0,130,254200,74.0566
3xFIR_10xS832,xc7k410tfbg900-1,226.7060,20117,30997,0,195,254200,7.9138
3xFIR_60xS832,xc7k410tfbg900-1,212.8112,32452,32197,0,195,254200,12.7663
3xFIR_110xS832,xc7k410tfbg900-1,208.2466,44222,33397,0,195,254200,17.3965
3xFIR_160xS832,xc7k410tfbg900-1,212.3593,56584,34597,0,195,254200,22.2596
3xFIR_210xS832,xc7k410tfbg900-1,199.6805,66663,35797,0,195,254200,26.2246
3xFIR_260xS832,xc7k410tfbg900-1,195.9632,79158,37212,0,195,254200,31.1400
3xFIR_310xS832,xc7k410tfbg900-1,193.1248,90834,38412,0,195,254200,35.7333
3xFIR_360xS832,xc7k410tfbg900-1,189.3222,101701,39612,0,195,254200,40.0083
3xFIR_410xS832,xc7k410tfbg900-1,172.9805,111314,40812,0,195,254200,43.7899
3xFIR_460xS832,xc7k410tfbg900-1,178.0627,124127,42012,0,195,254200,48.8304
3xFIR_510xS832,xc7k410tfbg900-1,173.9433,134396,43212,0,195,254200,52.8702
3xFIR_560xS832,xc7k410tfbg900-1,174.8863,145584,44412,0,195,254200,57.2714
3xFIR_610xS832,xc7k410tfbg900-1,174.1553,156835,45612,0,195,254200,61.6975
3xFIR_660xS832,xc7k410tfbg900-1,178.4121,168229,46812,0,195,254200,66.1798
3xFIR_710xS832,xc7k410tfbg900-1,174.7335,180104,48012,0,195,254200,70.8513
3xFIR_760xS832,xc7k410tfbg900-1,171.4090,193639,49212,0,195,254200,76.1758
4xFIR_10xS832,xc7k410tfbg900-1,222.7171,25813,41244,0,260,254200,10.1546
4xFIR_60xS832,xc7k410tfbg900-1,221.8279,38446,42444,0,260,254200,15.1243
4xFIR_110xS832,xc7k410tfbg900-1,200.9646,49461,43644,0,260,254200,19.4575
4xFIR_160xS832,xc7k410tfbg900-1,205.6344,60759,44844,0,260,254200,23.9020
4xFIR_210xS832,xc7k410tfbg900-1,191.3143,72901,46044,0,260,254200,28.6786
4xFIR_260xS832,xc7k410tfbg900-1,195.8097,84096,47244,0,260,254200,33.0826
4xFIR_310xS832,xc7k410tfbg900-1,191.2777,96399,48736,0,260,254200,37.9225
4xFIR_360xS832,xc7k410tfbg900-1,187.4766,106423,49936,0,260,254200,41.8659
4xFIR_410xS832,xc7k410tfbg900-1,191.6810,117897,51136,0,260,254200,46.3796
4xFIR_460xS832,xc7k410tfbg900-1,191.8281,130982,52336,0,260,254200,51.5271
4xFIR_510xS832,xc7k410tfbg900-1,173.3403,139492,53536,0,260,254200,54.8749
4xFIR_560xS832,xc7k410tfbg900-1,173.9433,151172,54736,0,260,254200,59.4697
4xFIR_610xS832,xc7k410tfbg900-1,177.1165,165280,55936,0,260,254200,65.0197
4xFIR_660xS832,xc7k410tfbg900-1,168.8334,174699,57136,0,260,254200,68.7250
4xFIR_710xS832,xc7k410tfbg900-1,173.8526,187228,58336,0,260,254200,73.6538
4xFIR_760xS832,xc7k410tfbg900-1,173.1302,195151,59536,0,260,254200,76.7707
5xFIR_10xS832,xc7k410tfbg900-1,220.0704,31664,51491,0,325,254200,12.4563
5xFIR_60xS832,xc7k410tfbg900-1,220.4586,44068,52691,0,325,254200,17.3360
5xFIR_110xS832,xc7k410tfbg900-1,210.0399,56038,53891,0,325,254200,22.0448
5xFIR_160xS832,xc7k410tfbg900-1,193.5359,66564,55091,0,325,254200,26.1857
5xFIR_210xS832,xc7k410tfbg900-1,174.7335,77626,56291,0,325,254200,30.5374
5xFIR_260xS832,xc7k410tfbg900-1,201.1263,90126,57491,0,325,254200,35.4548
5xFIR_310xS832,xc7k410tfbg900-1,198.0590,102625,59060,0,325,254200,40.3718
5xFIR_360xS832,xc7k410tfbg900-1,197.8239,113191,60260,0,325,254200,44.5283
5xFIR_410xS832,xc7k410tfbg900-1,194.1748,123584,61460,0,325,254200,48.6168
5xFIR_460xS832,xc7k410tfbg900-1,194.6661,134646,62660,0,325,254200,52.9685
5xFIR_510xS832,xc7k410tfbg900-1,168.2086,145417,63860,0,325,254200,57.2057
5xFIR_560xS832,xc7k410tfbg900-1,177.5253,156387,65060,0,325,254200,61.5212
5xFIR_610xS832,xc7k410tfbg900-1,170.7942,166145,66260,0,325,254200,65.3600
5xFIR_660xS832,xc7k410tfbg900-1,174.3375,178885,67460,0,325,254200,70.3718
5xFIR_710xS832,xc7k410tfbg900-1,172.3544,190018,68660,0,325,254200,74.7514
5xFIR_760xS832,xc7k410tfbg900-1,170.4158,197756,69860,0,325,254200,77.7954
6xFIR_10xS832,xc7k410tfbg900-1,226.4493,37513,61738,0,390,254200,14.7573
6xFIR_60xS832,xc7k410tfbg900-1,218.3883,49439,62938,0,390,254200,19.4489
6xFIR_110xS832,xc7k410tfbg900-1,204.7083,61357,64138,0,390,254200,24.1373
6xFIR_160xS832,xc7k410tfbg900-1,192.9757,72756,65338,0,390,254200,28.6216
6xFIR_210xS832,xc7k410tfbg900-1,189.3581,83707,66538,0,390,254200,32.9296
6xFIR_260xS832,xc7k410tfbg900-1,194.0617,95369,67738,0,390,254200,37.5173
6xFIR_310xS832,xc7k410tfbg900-1,183.6210,106812,69384,0,390,254200,42.0189
6xFIR_360xS832,xc7k410tfbg900-1,177.2107,118128,70584,0,390,254200,46.4705
6xFIR_410xS832,xc7k410tfbg900-1,176.3047,128590,71784,0,390,254200,50.5862
6xFIR_460xS832,xc7k410tfbg900-1,177.8410,138887,72984,0,390,254200,54.6369
6xFIR_510xS832,xc7k410tfbg900-1,169.1475,151477,74184,0,390,254200,59.5897
6xFIR_560xS832,xc7k410tfbg900-1,172.8608,161477,75384,0,390,254200,63.5236
6xFIR_610xS832,xc7k410tfbg900-1,170.0970,173248,76584,0,390,254200,68.1542
6xFIR_660xS832,xc7k410tfbg900-1,170.9402,184854,77784,0,390,254200,72.7199
6xFIR_710xS832,xc7k410tfbg900-1,175.5926,195936,78984,0,390,254200,77.0795
6xFIR_760xS832,xc7k410tfbg900-1,168.6056,200089,80184,0,390,254200,78.7132
7xFIR_10xS832,xc7k410tfbg900-1,222.1235,43345,71985,0,455,254200,17.0515
7xFIR_60xS832,xc7k410tfbg900-1,218.7227,55544,73185,0,455,254200,21.8505
7xFIR_110xS832,xc7k410tfbg900-1,200.7629,66611,74385,0,455,254200,26.2042
7xFIR_160xS832,xc7k410tfbg900-1,179.1152,77351,75585,0,455,254200,30.4292
